,siren,siret,adresse,postcode,city
0,325175,32517500016,MANIHI COTE MONTAGNE TUAMOTU,98770,MANIHI
1,325175,32517500024,1.0+PL+LEONCE DE SEYNES,84140,AVIGNON
2,325175,32517500032,6.0+AV+FRANCOIS MAURIAC,84000,AVIGNON
3,325175,32517500040,170.0+AV+DU COL DE L ANGE,13420,GEMENOS
4,325175,32517500057,61.0+RUE+MARX DORMOY,13004,MARSEILLE 4
5,325175,32517500065,51.0+RUE+MARX DORMOY,13004,MARSEILLE 4
6,1807254,180725400014,15.0+RUE+D INGLEMUR,54200,TOUL
7,1807254,180725400022,31.0+RUE+D ALEMBERT,2100,SAINT-QUENTIN
8,5410220,541022000015,RUE+DE HOUDENT,80210,TOURS-EN-VIMEU
9,5410345,541034500010,RTE+DE DOULLENS,80100,ABBEVILLE
10,5410394,541039400018,CHE+PETIT,80120,ARGOULES
11,5410428,541042800014,68.0+CHS+MARCADE,80100,ABBEVILLE
12,5410436,541043600017,CHS+D HOCQUET,80100,ABBEVILLE
13,5410485,541048500014,177.0+RUE+GRANDE,80220,GAMACHES
14,5410493,541049300018,HAM+DE HAMICOURT,80210,TOURS-EN-VIMEU
15,5410501,541050100018,RUE+FORT MARDI,80150,VIRONCHAUX
16,5410519,541051900010,10.0+RUE+PASTEUR,80550,LE CROTOY
17,5410527,541052700013,84.0+RUE+PASTEUR,80100,ABBEVILLE
18,5410543,541054300010,RTE+NATIONALE,80860,NOUVION
19,5410642,541064200010,1.0+RUE+DE SAINT VALERY,80220,GAMACHES
20,5410667,541066700017,,80132,MAREUIL-CAUBERT
21,5410675,541067500010,,80270,ALLERY
22,5410717,541071700010,27.0+RUE+SAINT JEAN,80135,SAINT-RIQUIER
23,5410733,541073300017,17.0+PETITE RUE NOTRE DAME,80100,ABBEVILLE
24,5410741,541074100010,AV+DE LA GARE,80120,QUEND
25,5410758,541075800014,CHS+MARCADE,80100,ABBEVILLE
26,5410816,541081600010,3.0+RUE+DE L ARQUET,80370,HIERMONT
27,5410857,541085700014,37.0+RUE+PIERRE SAUVAGE,80100,ABBEVILLE
28,5410873,541087300029,9.0+RUE+CHARLES DE GAULLE,80220,GAMACHES
29,5410899,541089900024,21.0+BD+VOLTAIRE,80100,ABBEVILLE
30,5410949,541094900019,35.0+PL+MAX LEJEUNE,80100,ABBEVILLE
31,5410980,541098000014,,80132,MIANNAY
32,5411053,541105300019,RUE+D ABBEVILLE,80870,MOYENNEVILLE
33,5411236,541123600010,RUE+DU MOULIN,80220,MAISNIERES
34,5411343,541134300014,RUE+DU GENERAL LECLERC,80150,CRECY-EN-PONTHIEU
35,5411434,541143400011,,80120,FAVIERES
36,5411483,541148300018,,80150,CRECY-EN-PONTHIEU
37,5411582,541158200017,47.0+CHS+DU BOIS,80100,ABBEVILLE
38,5411699,541169900019,,80150,CRECY-EN-PONTHIEU
39,5411806,541180600010,RUE+ALFRED FRANCOIS,80100,ABBEVILLE
40,5411954,541195400018,RUE+JULES VERNE,80550,LE CROTOY
41,5411962,541196200011,,80150,DOMVAST
42,5411996,541199600019,10.0+AV+DE LA GARE,80100,ABBEVILLE
43,5420013,542001300012,264.0+CHS+D HOCQUET,80100,ABBEVILLE
44,5420021,542002100015,17.0+RUE+DES LINGERS,80100,ABBEVILLE
45,5420021,542002100023,RUE+TUROLD,76630,ENVERMEU
46,5420021,542002100031,134.0+RUE+HENRI BARBUSSE,80130,FRIVILLE-ESCARBOTIN
47,5420021,542002100049,52.0+RUE+VENTOSE,80100,ABBEVILLE
48,5420021,542002100056,21.0+B+BD+DES PRES,80100,ABBEVILLE
49,5420039,542003900017,3.0+PL+DU PILORI,80100,ABBEVILLE
50,5420047,542004700010,114.0+CHS+MARCADE,80100,ABBEVILLE
51,5420047,542004700028,2.0+RIVE DROITE DE LA SOMME,80100,ABBEVILLE
52,5420054,542005400024,54.0+RUE+DES ECOLES,80970,SAILLY-FLIBEAUCOURT
53,5420070,542007000020,2.0+VOIE NOUVELLE,80100,ABBEVILLE
54,5420088,542008800014,3.0+RUE+DES LINGERS,80100,ABBEVILLE
55,5420104,542010400019,13.0+PL+MAX LEJEUNE,80100,ABBEVILLE
56,5420120,542012000015,RUE+DE LA FONTAINE,80120,RUE
57,5420120,542012000023,12.0+RTE+DE MONTREUIL,62180,RANG-DU-FLIERS
58,5420120,542012000031,RTE+NATIONALE,62140,MARCONNELLE
59,5420120,542012000049,RUE+DE LA GARE,62180,CONCHIL-LE-TEMPLE
60,5420146,542014600010,PL+DU GENERAL LECLERC,80120,RUE
61,5420153,542015300016,RUE+MARECHAL FOCH,80100,ABBEVILLE
62,5420187,542018700014,CHS+D HOCQUET,80100,ABBEVILLE
63,5420195,542019500033,AU CHEMIN DE LA RIVIERE,80140,RAMBURES
64,5420245,542024500010,2.0+BD+VAUBAN,80100,ABBEVILLE
65,5420260,542026000019,RUE+JOLIOT CURIE,80570,DARGNIES
66,5420278,542027800011,,80270,ALLERY
67,5440011,544001100012,AV+DE VERDUN,4000,DIGNE-LES-BAINS
68,5440078,544007800011,,4370,COLMARS
69,5440110,544011000038,CRS+PECHINEY,4600,CHATEAU-ARNOUX-SAINT-AUBAN
70,5440110,544011000053,13.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
71,5440110,544011000061,6.0+RUE+FIRMIN GUICHARD,4000,DIGNE-LES-BAINS
72,5440136,544013600017,,4500,QUINSON
73,5440185,544018500014,,4250,TURRIERS
74,5440219,544021900011,,4210,VALENSOLE
75,5440235,544023500017,,4170,THORAME-BASSE
76,5440409,544040900018,RUE+CHAPUZIE,4200,SISTERON
77,5440508,544050800017,RTE+NEUVE,4160,CHATEAU-ARNOUX-SAINT-AUBAN
78,5440557,544055700014,PL+DES RECOLLETS,4000,DIGNE-LES-BAINS
79,5440565,544056500017,PL+DU GENERAL DE GAULLE,4200,SISTERON
80,5440649,544064900019,RUE+LOGIS,4800,SAINT-MARTIN-DE-BROMES
81,5440672,544067200011,,4120,CASTELLANE
82,5440698,544069800016,,4370,COLMARS
83,5440722,544072200014,,4120,CASTELLANE
84,5440755,544075500014,,4190,LES MEES
85,5440789,544078900013,,4530,LA CONDAMINE-CHATELARD
86,5440797,544079700016,,4700,ORAISON
87,5440813,544081300029,LE FOREST DE BAYONS,4250,LA MOTTE-DU-CAIRE
88,5440847,544084700019,,4140,VERDACHES
89,5440904,544090400018,HAM+LES BAUMES,4200,MISON
90,5440938,544093800016,,4200,MISON
91,5440987,544098700013,,4500,MONTAGNAC-MONTPEZAT
92,5441027,544102700017,RUE+NEUVE,4140,SEYNE
93,5441035,544103500010,18.0+RUE+PIED DE VILLE,4000,DIGNE-LES-BAINS
94,5441043,544104300014,5.0+BD+VICTOR HUGO,4000,DIGNE-LES-BAINS
95,5441068,544106800011,RUE+LT BLONDEAU,4120,CASTELLANE
96,5441134,544113400011,42.0+RUE+MANUEL,4400,BARCELONNETTE
97,5441159,544115900018,QUAI+SAINT AUBAN,4160,CHATEAU-ARNOUX-SAINT-AUBAN
98,5441191,544119100029,ALL+DES ERABLES,4160,CHATEAU-ARNOUX-SAINT-AUBAN
99,5441233,544123300011,,4370,COLMARS
100,5441241,544124100014,QUAI+PLANTIERS,4200,SISTERON
101,5441266,544126600011,,4270,ESTOUBLON
102,5441316,544131600014,,4240,ANNOT
103,5441357,544135700018,,4190,LES MEES
104,5441365,544136500011,4.0+PL+DU MARCHE,4000,DIGNE-LES-BAINS
105,5441373,544137300015,,4360,MOUSTIERS-SAINTE-MARIE
106,5441399,544139900010,,4170,LA MURE-ARGENS
107,5441407,544140700011,RUE+BASSE,4140,SEYNE
108,5441449,544144900013,,4800,GREOUX-LES-BAINS
109,5441548,544154800012,39.0+RUE+DE L HUBAC,4000,DIGNE-LES-BAINS
110,5441589,544158900016,PL+DR ITARD,4700,ORAISON
111,5441597,544159700019,BD+GASSENDI,4000,DIGNE-LES-BAINS
112,5441613,544161300014,,4160,CHATEAU-ARNOUX-SAINT-AUBAN
113,5441621,544162100017,,4700,PUIMICHEL
114,5441662,544166200011,PL+MARCHE,4210,VALENSOLE
115,5450010,545001000011,,4160,CHATEAU-ARNOUX-SAINT-AUBAN
116,5450051,545005100015,QUAI+DE LA BONNETTE,4000,DIGNE-LES-BAINS
117,5450093,545009300017,5.0+ALL+L GARDIOL,4500,RIEZ
118,5450093,545009300025,QUAI+STE ANNE,4500,RIEZ
119,5450093,545009300033,AV+DES THERMES,4800,GREOUX-LES-BAINS
120,5450093,545009300041,36.0+RUE+GRANDE,4800,GREOUX-LES-BAINS
121,5450093,545009300058,27.0+RUE+GRANDE,4800,GREOUX-LES-BAINS
122,5450101,545010100026,4.0+BD+LA FERRAGE,13860,PEYROLLES-EN-PROVENCE
123,5450119,545011900010,63.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
124,5450119,545011900028,SAINT CHRISTOPHE,4000,DIGNE-LES-BAINS
125,5450119,545011900036,3.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
126,5470018,547001800010,AV+DU MARCHE,44500,LA BAULE-ESCOUBLAC
127,5470075,547007500010,13.0+RUE+DU CENTRE,44510,LE POULIGUEN
128,5470190,547019000017,RUE+DE KERVENEL,44490,LE CROISIC
129,5470208,547020800017,105.0+AV+DE LA REPUBLIQUE,44600,SAINT-NAZAIRE
130,5470430,547043000017,2.0+RUE+CHARLES BRUNELIERE,44570,TRIGNAC
131,5470455,547045500014,LD+LA BOSSE,44500,LA BAULE-ESCOUBLAC
132,5470489,547048900013,LD+LE PONT DENYON,44480,DONGES
133,5470620,547062000013,17.0+RUE+DES CHANTIERS,44600,SAINT-NAZAIRE
134,5470653,547065300014,23.0+BD+LEON GAMBETTA,44600,SAINT-NAZAIRE
135,5470927,547092700020,AV+DE LA FORET,44300,NANTES
136,5470943,547094300019,,44130,BLAIN
137,5470984,547098400013,AV+DE VERA CRUZ,44600,SAINT-NAZAIRE
138,5471065,547106500010,1.0+PL+DU GENERAL D ARGENCE,44410,HERBIGNAC
139,5471115,547111500013,45.0+RUE+DE LA PAIX ET DES ARTS,44600,SAINT-NAZAIRE
140,5471214,547121400014,8.0+PL+DE L HOTEL DE VILLE,44260,SAVENAY
141,5471420,547142000017,BD+DE VERDUN,44600,SAINT-NAZAIRE
142,5471438,547143800019,BEAULIEU,44160,PONTCHATEAU
143,5471495,547149500019,RUE+DE VERDUN,44260,SAVENAY
144,5471578,547157800012,PL+DE L EGLISE,44130,LE GAVRE
145,5471594,547159400019,PL+DE L'EGLISE,44530,GUENROUET
146,5471602,547160200010,RUE+DE PORNICHET,44600,SAINT-NAZAIRE
147,5471628,547162800015,22.0+RUE+GREGOIRE ORAIN,44460,FEGREAC
148,5471685,547168500015,RTE+DE NANTES,44160,PONTCHATEAU
149,5471743,547174300012,AV+DE LA REPUBLIQUE,44600,SAINT-NAZAIRE
150,5471768,547176800019,AV+DES IBIS,44500,LA BAULE-ESCOUBLAC
151,5471784,547178400016,RUE+HOTEL VILLE,44290,GUEMENE-PENFAO
152,5471800,547180000010,145.0+AV+DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC
153,5471800,547180000028,RTE+DE LA BAULE,44350,GUERANDE
154,5471842,547184200012,PL+ABB CORBILLE,44130,BOUVRON
155,5471891,547189100019,ESP BENOIT,44500,LA BAULE-ESCOUBLAC
156,5471941,547194100012,AV+DONIZETTI,44500,LA BAULE-ESCOUBLAC
157,5471958,547195800016,15.0+AV+GEORGES CLEMENCEAU,44500,LA BAULE-ESCOUBLAC
158,5472014,547201400017,RTE+DE VANNES,44160,PONTCHATEAU
159,5472022,547202200028,BD+OCEANIDES,44380,PORNICHET
160,5472063,547206300014,163.0+B+MAYUN,44410,LA CHAPELLE-DES-MARAIS
161,5472238,547223800020,LE BOURG,44630,PLESSE
162,5472253,547225300011,276.0+AV+MAL DE LATTRE DE TASSIGNY,44500,LA BAULE-ESCOUBLAC
163,5472261,547226100014,LA VILLES DAVAUD,44380,PORNICHET
164,5472683,547268300019,BOURG,44530,SAINT-GILDAS-DES-BOIS
165,5472857,547285700019,BOURG,44160,SAINTE-ANNE-SUR-BRIVET
166,5472873,547287300016,AV+DE MAZY,44380,PORNICHET
167,5472980,547298000019,BOURG,44360,CORDEMAIS
168,5473020,547302000013,10.0+BD+COURCELLES,44290,GUEMENE-PENFAO
169,5473152,547315200048,3.0+ALL+DE LA COLLE LONGUE,6270,VILLENEUVE-LOUBET
170,5473202,547320200017,2.0+PL+ARISTIDE BRIAND,44220,COUERON
171,5473202,547320200025,5.0+RUE+DU DOCTEUR JANVIER,44220,COUERON
172,5473244,547324400027,40.0+B+AV+GEORGES CLEMENCEAU,44380,PORNICHET
173,5473285,547328500012,29.0+RUE+DU MAINE,44600,SAINT-NAZAIRE
174,5473327,547332700012,8.0+Q DE LA PETITE CHAMBRE,44490,LE CROISIC
175,5473418,547341800019,LD+VILLE BERTHE,44460,FEGREAC
176,5473442,547344200019,RTE+DE LA COTE D AMOUR,44600,SAINT-NAZAIRE
177,5473822,547382200038,IMP+STE ELISABETH,44260,SAVENAY
178,5473921,547392100012,88.0+AV+DE LA REPUBLIQUE,44600,SAINT-NAZAIRE
179,5473939,547393900014,RUE+DU TRAICT,44490,LE CROISIC
180,5473988,547398800011,Q ST PIERRE,44420,LA TURBALLE
181,5474200,547420000010,AV+DE LA MONNERAYE,44410,HERBIGNAC
182,5474440,547444000012,31.0+BD+DE LA LIBERATION,44360,SAINT-ETIENNE-DE-MONTLUC
183,5474481,547448100016,71.0+AV+ALBERT DE MUN,44600,SAINT-NAZAIRE
184,5474507,547450700018,ALL+DES PETRELS,44500,LA BAULE-ESCOUBLAC
185,5474564,547456400019,BD+DE LA LIBERATION,44220,COUERON
186,5474598,547459800017,8.0+AV+DES PINS,44380,PORNICHET
187,5474630,547463000018,32.0+AV+DU GENERAL DE GAULLE,44600,SAINT-NAZAIRE
188,5474747,547474700010,LD+LE DRESNY,44630,PLESSE
189,5474770,547477000012,RUE+DE TRIGNAC,44600,SAINT-NAZAIRE
190,5474945,547494500010,RTE+ROUTE DE ST GILDAS,44530,GUENROUET
191,5474960,547496000019,86.0+RUE+JEAN GUTENBERG,44600,SAINT-NAZAIRE
192,5475215,547521500017,LD+LANCE,44630,PLESSE
193,5475314,547531400018,1.0+RUE+DE LA GARE,44510,LE POULIGUEN
194,5480066,548006600124,7.0+RTE+DE POMPIERRE,44100,NANTES
195,5480082,548008200014,DISSIGNAC,44600,SAINT-NAZAIRE
196,5480165,548016500017,AV+DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC
197,5480231,548023100017,220.0+AV+MAL DE LATTRE DE TASSIGNY,44500,LA BAULE-ESCOUBLAC
198,5480256,548025600014,6.0+RUE+DU POULIGUEN,44740,BATZ-SUR-MER
199,5480546,548054600018,LENIPHEN,44350,GUERANDE
200,5480546,548054600059,322.0+BD+JEAN JACQUES BOSC,33130,BEGLES
201,5480546,548054600067,MONTCOUPOT,51210,MONTMIRAIL
202,5510037,551003700012,1.0+RUE+HOHON,80510,LONG
203,5510060,551006000014,2.0+RTE+DE FEUQUIERES,80210,TOURS-EN-VIMEU
204,5510086,551008600019,,80150,CANCHY
205,5510102,551010200014,142.0+CHS+MARCADE,80100,ABBEVILLE
206,5510326,551032600019,,80135,SAINT-RIQUIER
207,5510367,551036700013,HAM+DE BELLEFONTAINE,80490,BAILLEUL
208,5510490,551049000013,,80120,QUEND
209,5510508,551050800020,RUE+DU 11 NOVEMBRE,80220,GAMACHES
210,5510532,551053200053,691.0+RUE+D ABBEVILLE,80000,AMIENS
211,5510623,551062300027,7.0+RUE+SAINT ANTOINE,80510,LONG
212,5510631,551063100012,13.0+RUE+ROGER SALENGRO,80210,FEUQUIERES-EN-VIMEU
213,5510722,551072200019,,80135,ONEUX
214,5510854,551085400010,RUE+JEAN DE PONTHIEU,80100,ABBEVILLE
215,5511027,551102700012,15.0+RUE+DU MARAIS,80120,RUE
216,5511050,551105000014,8.0+RTE+DE BERCK,80120,FORT-MAHON-PLAGE
217,5511100,551110000017,CHS+MARCADE,80100,ABBEVILLE
218,5511142,551114200019,53.0+RUE+PIERRE CURIE,80210,FEUQUIERES-EN-VIMEU
219,5511167,551116700016,,80150,DOMPIERRE-SUR-AUTHIE
220,5511183,551118300021,41.0+RUE+DU LIEUTENANT CARON,80100,ABBEVILLE
221,5511225,551122500012,RUE+DE L EGLISE,80132,CAMBRON
222,5511357,551135700013,27.0+RUE+MARECHAL FOCH,80100,ABBEVILLE
223,5511415,551141500019,11.0+RUE+DE LA REPUBLIQUE,80510,LONGPRE-LES-CORPS-SAINTS
224,5511449,551144900018,RUE+JACQUES MALLET,80132,HAUTVILLERS-OUVILLE
225,5511456,551145600013,62.0+RUE+GRANDE,80220,GAMACHES
226,5511464,551146400017,259.0+RTE+DE ROUEN,80100,ABBEVILLE
227,5511472,551147200010,24.0+RUE+SAINT VULFRAN,80100,ABBEVILLE
228,5511530,551153000015,8.0+RUE+GASTON GARRY,80120,RUE
229,5511688,551168800011,33.0+RUE+VASSEUR,80120,QUEND
230,5511738,551173800014,RUE+NOTRE DAME,80135,SAINT-RIQUIER
231,5511845,551184500017,10.0+RUE+DU GENERAL LECLERC,80550,LE CROTOY
232,5511944,551194400018,,80570,DARGNIES
233,5512025,551202500015,RUE+MARECHAL FOCH,80100,ABBEVILLE
234,5512066,551206600019,3.0+RUE+FERDINAND BUISSON,80210,FEUQUIERES-EN-VIMEU
235,5512231,551223100019,,80150,LE BOISLE
236,5512363,551236300010,,80132,LE TITRE
237,5512447,551244700011,RUE+ROGER SALENGRO,80210,FEUQUIERES-EN-VIMEU
238,5512645,551264500010,RUE+DE L EGLISE,80140,HUPPY
239,5512678,551267800011,PL+DU MONUMENT,80550,LE CROTOY
240,5512686,551268600014,8.0+RUE+DE LA PORTE DU PONT,80550,LE CROTOY
241,5512710,551271000012,9.0+RTE+D ABBEVILLE,80135,SAINT-RIQUIER
242,5512728,551272800014,RUE+DE MALADRERIE,80150,YVRENCHEUX
243,5515309,551530900010,RUE+D ABBEVILLE,80120,QUEND
244,5520028,552002800019,RUE+AMBROISE CROIZAT,80570,DARGNIES
245,5520036,552003600012,220.0+RUE+DE MENCHECOURT,80100,ABBEVILLE
246,5520077,552007700016,13.0+RUE+GAMBETTA,80210,FEUQUIERES-EN-VIMEU
247,5520119,552011900016,74.0+BD+DE LA PORTELETTE,80100,ABBEVILLE
248,5520119,552011900024,27.0+RUE+LEDIEN,80100,ABBEVILLE
249,5520119,552011900032,,80870,MOYENNEVILLE
250,5520119,552011900040,,80490,BAILLEUL
251,5520119,552011900057,17.0+RUE+LEDIEN,80100,ABBEVILLE
252,5520135,552013500012,253.0+RUE+DE MENCHECOURT,80100,ABBEVILLE
253,5520135,552013500020,32.0+PL+DE LA GARE - LILLE,59800,LILLE
254,5520135,552013500038,70.0+RUE+DE LAUSANNE,1220,DIVONNE-LES-BAINS
255,5520176,552017600016,50.0+RUE+PASTEUR,80210,FEUQUIERES-EN-VIMEU
256,5520176,552017600032,ZONE DES HAYETTES,80210,CHEPY
257,5520200,552020000014,4.0+RUE+PIERRE CURIE,80220,GAMACHES
258,5520234,552023400021,ZONE INDUSTRIELLE,80210,FEUQUIERES-EN-VIMEU
259,5520242,552024200016,3.0+RUE+DU 43 RIC,80510,LONGPRE-LES-CORPS-SAINTS
260,5520242,552024200032,55.0+BD+DE SEBASTOPOL,75001,PARIS 1
261,5520242,552024200040,88.0+RUE+ROBESPIERRE,93100,MONTREUIL
262,5520242,552024200057,14.0+RUE+LESAULT,93500,PANTIN
263,5520242,552024200065,14.0+RUE+LESAULT,93500,PANTIN
264,5520242,552024200073,1.0+AV+ALBERT EINSTEIN,78190,TRAPPES
265,5520242,552024200081,4.0+RUE+DU 43 EME RIC,80510,LONGPRE-LES-CORPS-SAINTS
266,5520259,552025900010,CHS+DU BOIS,80100,ABBEVILLE
267,5520309,552030900013,RUE+MARECHAL FOCH,80100,ABBEVILLE
268,5520325,552032500019,12.0+RUE+HENRI BARBUSSE,80570,DARGNIES
269,5520325,552032500027,36.0+AV+JUNOT,75018,PARIS 18
270,5520408,552040800047,52.0+RUE+DE LA BIENFAISANCE,75008,PARIS 8
271,5520408,552040800054,17.0+RUE+DE LA BAUME,75008,PARIS 8
272,5520416,552041600016,60.0+QUAI+DE LA POINTE,80100,ABBEVILLE
273,5520424,552042400010,RUE+JOSSE VAN ROBAIS,80100,ABBEVILLE
274,5520432,552043200013,58.0+RUE+GRANDE,80220,GAMACHES
275,5520440,552044000016,2.0+RUE+SAINT GILLES,80100,ABBEVILLE
276,5520465,552046500039,RUE+DE L HOMMELET,59100,ROUBAIX
277,5520507,552050700012,MOU SAINT JEAN,80120,RUE
278,5540034,554003400013,PL+GENERAL DE GAULLE,4000,DIGNE-LES-BAINS
279,5540083,554008300010,RUE+4 COINS,4500,RIEZ
280,5540091,554009100013,AV+DE LA LIBERATION,4200,SISTERON
281,5540125,554012500019,PL+JEAN JAURES,4160,CHATEAU-ARNOUX-SAINT-AUBAN
282,5540273,554027300025,7.0+PL+BERAUD,4330,BARREME
283,5540307,554030700013,HAM+LE SAUZE,4400,ENCHASTRAYES
284,5540315,554031500016,44.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
285,5540349,554034900015,RUE+DES COURTILS,4360,MOUSTIERS-SAINTE-MARIE
286,5540372,554037200017,2.0+PL+DE L HORLOGE,4200,SISTERON
287,5540380,554038000010,49.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
288,5540422,554042200010,9.0+ALL+ROMAIN SELSIS,4700,ORAISON
289,5540448,554044800015,,4350,MALIJAI
290,5540455,554045500010,LE VILLAGE,4350,MALIJAI
291,5540497,554049700012,47.0+RUE+MANUEL,4400,BARCELONNETTE
292,5540539,554053900029,PL+FREDERIC MISTRAL,4210,VALENSOLE
293,5540547,554054700014,,4120,CASTELLANE
294,5540554,554055400010,RUE+DE LA GRANDE FONTAINE,4210,VALENSOLE
295,5540612,554061200016,LE CYRNOS,4200,SISTERON
296,5540646,554064600014,PL+MARIUS SAUVAIRE,4120,CASTELLANE
297,5540661,554066100021,34.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
298,5540828,554082800018,6.0+PL+DE LA MAIRIE,4200,SISTERON
299,5540836,554083600011,GRAND RUE,4210,VALENSOLE
300,5540844,554084400015,,4500,QUINSON
301,5540869,554086900012,7.0+RUE+SAUNERIE,4200,SISTERON
302,5540885,554088500018,PL+CLEMENT PLANE,4700,ORAISON
303,5540901,554090100013,,4360,MOUSTIERS-SAINTE-MARIE
304,5540968,554096800012,7.0+RUE+CAPITOUL,4000,DIGNE-LES-BAINS
305,5540976,554097600015,BD+GASSENDI,4000,DIGNE-LES-BAINS
306,5541016,554101600019,LES FERREOLS,4000,DIGNE-LES-BAINS
307,5541032,554103200016,,4140,AUZET
308,5541040,554104000019,,4530,LA CONDAMINE-CHATELARD
309,5541065,554106500016,,4140,SEYNE
310,5541073,554107300010,RTE+NATIONALE 96,4600,CHATEAU-ARNOUX-SAINT-AUBAN
311,5541123,554112300013,,4170,THORAME-HAUTE
312,5541206,554120600016,RUE+DU MILIEU,4320,ENTREVAUX
313,5541206,554120600024,QUA+LE RAGOT,4320,ENTREVAUX
314,5541248,554124800018,,4250,LE CAIRE
315,5541255,554125500013,LE VERLAINE,4800,GREOUX-LES-BAINS
316,5541263,554126300017,,4370,BEAUVEZER
317,5541305,554130500016,GAUDEISSARD,4340,MEOLANS-REVEL
318,5541347,554134700018,,4500,MONTAGNAC-MONTPEZAT
319,5541347,554134700026,,4500,RIEZ
320,5541362,554136200017,,4700,ORAISON
321,5541412,554141200010,2.0+C ARCS,4000,DIGNE-LES-BAINS
322,5541438,554143800023,RUE+DU VALLON DE FARINE,4000,DIGNE-LES-BAINS
323,5541495,554149500015,,4240,ANNOT
324,5541529,554152900011,,4170,SAINT-ANDRE-LES-ALPES
325,5541545,554154500017,,4360,MOUSTIERS-SAINTE-MARIE
326,5541552,554155200013,HOTEL DU VERDON,4370,BEAUVEZER
327,5541552,554155200021,L'AULAPIE,4260,ALLOS
328,5541552,554155200039,PISTE DE L'AIGUILLE,4260,ALLOS
329,5541560,554156000016,37.0+RUE+MANUEL,4400,BARCELONNETTE
330,5541610,554161000035,RUE+DES CORDELIERS,4200,SISTERON
331,5541669,554166900015,SAINT CHRISTOPHE,4000,DIGNE-LES-BAINS
332,5541677,554167700018,20.0+RUE+MANUEL,4400,BARCELONNETTE
333,5541685,554168500011,15.0+RUE+DE L ANCIENNE MAIRIE,4000,DIGNE-LES-BAINS
334,5541701,554170100016,,4530,LA CONDAMINE-CHATELARD
335,5541735,554173500014,35.0+BD+GASSENDI,4000,DIGNE-LES-BAINS
336,5541750,554175000013,,4370,COLMARS
337,5541776,554177600018,,4170,SAINT-ANDRE-LES-ALPES
338,5541842,554184200018,RUE+DE LA GRANDE FONTAINE,4000,DIGNE-LES-BAINS
339,5541867,554186700023,QUAI+DES 4 CHEMINS,83460,LES ARCS
340,5541909,554190900015,BD+REPUBLIQUE,4190,LES MEES
